Country Name,2022,2021,2020,2019
Kazakhstan,-1.65314875358922,-2.544218166226914,-2.5237743265209973,-1.5144620573231096
Afghanistan,-3.776447154914622,-3.608915600620234,-3.8747899404953023,-4.098980243644011
Mali,-4.5847311389419545,-4.6694627984495005,-4.774184081747806,-4.799735258063298
Jordan,-0.6602536052502048,-1.43536796296609,-2.1919639312713484,-2.335124110958682
Romania,-0.3823538445590285,0.09922411903425583,0.4984876535099308,0.34817888993076074
Dominican Republic,-1.620648673251941,-1.73790262536667,-1.863402711512362,-1.9241616178126455
Zambia,-3.889418389782885,-3.929931024002739,-4.011740515516809,-4.103181508775045
Sweden,-0.7475189564231945,-0.9633620485287665,-0.8928043915683056,-1.0236645438488785
Guatemala,-2.191559891848737,-2.21749686929264,-2.240768445015078,-2.2628118532708297
Israel,-2.1376709451286753,-2.041242866991269,-1.7601453381295775,-1.8394781519189263
Bolivia,-1.8209809627655424,-1.6784862959249567,-1.6799349889016904,-1.823286632787714
Senegal,-3.484205782373369,-3.504325671486145,-3.568555608902418,-3.5974708542630975
Tunisia,-1.2835481341644317,-1.2148380930513696,-1.2795426266065895,-1.3714639755943592
Somalia,-4.214953532236669,-4.237938597807885,-4.320697005373222,-4.589884205760028
Cuba,0.0008642272489007894,0.25266329490359224,0.2664973233604685,0.03130638172165841
Greece,0.23916203919046441,0.962230802914847,0.815733347897045,-0.196262177565092
UAE,-1.0625805171146976,-1.0813004352787787,-1.1164700958134604,-1.109470227780692
Czech Republic,-2.0841410646423952,-1.7744278151547301,1.61845557779558,-0.43150643176567893
Burkina Faso,-4.41279062309104,-4.475300976864749,-4.588809245547636,-4.64716892627322
Hong Kong,-2.5211979671182707,0.9120485699895183,0.9159460954256654,0.3595775965779976
Belarus,0.03789610744356206,0.2854082406300674,0.29286911921068604,-0.13028023596643912
Portugal,-1.863336048561829,-1.2458079460086684,-1.426146059207886,-0.9275930822434818
Haiti,-2.576729656409835,-2.6242773463725886,-2.72236973754229,-2.8436703260985925
Hungary,0.12393446414229624,0.2671012248893117,-0.006543204895970883,-0.19981603694771882
Benin,-3.7250985316574203,-3.7702019652239542,-3.8283922028506923,-3.9018533717747985
Nepal,-3.1699442021018784,-3.708528359267185,-4.294575854827846,-3.778250979131025
Switzerland,-0.9842133884147253,-0.9399987942423844,-0.8712134855743255,-0.8166453951282878
Honduras,-2.520137995948415,-2.502611376515061,-2.5635671048284228,-2.670205994284708
Singapore,-4.742188112574455,-3.2544843713577847,4.258516354253345,0.31239189089605046
Azerbaijan,-0.42016272718310643,-0.7284010705683057,-1.104831657895528,-1.3265657300134552
Libya,-1.4724074588647755,-1.5057860613454486,-1.577182745908927,-1.639836755736309
Austria,-1.4470502020782459,-1.3880036335544985,-0.8515801730377297,-0.8092807091524086
Zimbabwe,-2.4368108968828905,-2.2819960817380167,-2.209938548943672,-2.1078877498063227
Guinea,-3.4037962843891982,-3.4097641679390454,-3.4333763871263807,-3.4726660368833944
Denmark,-0.8820095178285898,-0.9270106590122532,-0.5723898752723743,-0.4292775961388759
Bulgaria,0.09699608163404336,5.9117972218429955,0.36863114394802327,0.1514458909631505
El Salvador,-1.2751522749499293,-1.2157390032358633,-1.245765431734721,-1.1473433740844414
Finland,-0.6109661152229815,-0.3705051982690152,-0.29918473740372165,-0.22644706292364983
Lebanon,2.3417089814033756,1.6813832597554697,1.065920235505534,1.909366502017374
Niger,-4.561093108620868,-4.460521965066213,-4.358590599758918,-4.290123540707678
Norway,-1.5213377038826983,-1.2983252552593267,-0.9499433469126175,-1.0159589888443457
New Zealand,-2.141300381175503,-0.22451500530361032,-0.5160902299029361,-2.275425818100079
Chad,-4.243496949541017,-4.202978783570756,-4.177687311804585,-4.103903256178934
Paraguay,-1.695275126794837,-1.641543382271463,-1.7639606206406997,-1.8219973598678039
Cambodia,-2.8091817008524758,-2.8234114036412548,-2.9053707314927495,-2.8951595995960018
Kuwait,-0.956704565175629,-0.43943682559776315,2.5959303679854235,1.8497198909101917
Costa Rica,-1.2991355660711656,-1.2668523094933815,-1.3969850419707912,-1.6068939867563499
Sri Lanka,-0.3158358702245503,-0.9842050900002062,-1.8407982344418805,-1.2095954313599575
Republic Of Congo,-2.872985815416519,-2.898949786187589,-2.939498798327571,-2.9618939077411857
Nicaragua,-1.8724037536286389,-1.8701198400071142,-1.822451022521452,-1.782562357827314
