,Country name,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
48,Honduras,140.28735009846804,149.85141807714575,164.48650609882563,178.5790885330067,198.71528496820014,231.6119846026958,288.1880795434507,323.13143902957,313.37953664221425,291.7725650399234,302.9557446307798,289.46866424390856,284.0749080323858,305.60905521498074,362.629223603398,296.74330176966714,604.1727993435898
49,Hong Kong (China),1410.4319094303617,1457.2994220512387,1460.799212408159,1432.773244751185,1490.249919489853,1630.2350976361768,1709.2944550550924,1780.2024239298607,1836.4840031311023,1915.4384493823975,1967.2775290669588,2014.980912969557,2103.4955667538434,2183.3118864126377,2189.951335847111,2195.2851124047215,5117.982933829633
50,Hungary,814.4446028803651,1007.5815405435112,1154.7100749805768,987.6215969708626,973.9393184911111,1059.8791375494268,990.9190188259629,1031.3775453184023,1021.8972347544232,887.557405600852,934.8107132546515,1082.2905527854111,1221.0390618193096,1265.5095300350924,1310.7533629897778,1447.0529376001862,1945.5236922226636
51,Iceland,3875.7480763750355,4730.309889938334,3683.998578564624,2701.426500557536,2846.8164581645206,3147.7989092019543,3117.9350041185126,3503.0535123025147,4830.117219622668,4639.220679331635,5487.885971390842,6617.398280105427,6703.590195355942,6149.741795342375,5855.781843478044,6480.883431064924,10224.558964689179
52,India,97.07673109478033,113.2718008164495,119.23164487052128,117.24363685331161,137.18929156337467,154.44456664568423,149.18437020811234,156.89996678379578,165.3763795443228,169.6744578164427,173.72934910241236,190.40488411512604,192.18067605353184,221.29969665721813,217.9769825936667,230.20775790384675,322.43739419180594
53,Indonesia,107.54383059480261,117.85493928454217,119.40297738031259,127.27506782403648,155.21614298384074,174.35409881588342,174.28674030838062,183.26240483919688,164.56419954358503,154.5479259824815,191.83192886426562,204.9663738893977,198.71757866666724,205.96301156941774,189.02115895383264,191.25213019418962,206.78694971729803
54,Ireland,1911.2956974537258,2228.378287200273,4509.5850702710295,4287.004414290166,4017.3192155644338,4167.887533218971,3869.953716258944,3982.007774201804,3995.8347674333236,3376.580581414335,3405.5479285749425,3543.929409591217,3825.065403691559,3757.991969107044,4033.806429552945,4373.19905143265,8946.063796780727
55,Israel,1611.3799031310352,1865.1035276357075,2207.9022312486372,2020.9364242854153,2166.47610641954,2326.634754658025,2275.7204109032996,2500.8596996015017,2604.0232816506773,2444.920886964103,2531.9180327094164,2804.512908714251,2947.731139738766,2887.058787376446,3024.6288344968802,4659.841889485722,8016.2441901771335
56,Italy,2476.068539909626,2759.315191789995,3046.0136887846215,2894.6498254620537,2810.626606301838,2980.376520619998,2720.0405525557453,2836.352789551171,2847.8480127933885,2408.3785806836604,2422.26172577409,2480.3494557559848,2634.1485583166564,2522.605202673973,2462.1940788248367,2696.61833811955,2525.658180329868
57,Japan,2845.2446980389136,2807.559164010177,3181.1301243405856,3399.5906501065406,3679.6589195416373,4057.287199669137,4080.688577175187,3319.8198127876803,3111.0546162722258,2753.5435811269454,3067.2957518367466,2975.942621600985,3049.1786428757537,3100.6424724763788,3096.242503399613,3050.4492981077437,2586.348361775008
58,Jordan,394.92242595204516,430.1834982126306,493.1893718254017,514.0845070422536,552.112676056338,585.9154929577466,615.4929577464789,652.112676056338,703.550319840111,681.6901408450705,694.3661971830986,704.2253521126761,738.0281690140846,764.7887323943662,768.8516725352114,1005.5799113781062,1799.1881946923158
